720x1280
Adreno 320 (16.27)	Adreno 320 (6.48)	Adreno 320 (17.93)	Adreno 320 (6.36)	Adreno 320 (15.96)	Adreno 530 (16.61)	Adreno 530 (5.41)	Adreno 530 (22.54)	Adreno 530 (5.50)	Adreno 530 (22.81)	Mali 450 (17.48)	Mali 450 (10.55)	Mali 450 (29.94)	Mali 450 (14.54)	Mali 450 (29.55)	PVR G6200 (16.91)	PVR G6200 (12.47)	PVR G6200 (19.95)	PVR G6200 (10.72)	PVR G6200 (20.25)	Tegra 3 (39.70)	Tegra 3 (26.76)	Tegra 3 (36.54)	Tegra 3 (27.59)	Tegra 3 (34.41)	Tegra 4 (16.53)	Tegra 4 (9.21)	Tegra 4 (16.79)	Tegra 4 (10.10)	Tegra 4 (16.41)	
vsync (16.27)	none (6.48)	glReadPixels (17.93)	EGLSyncKHR (6.36)	glFinish (15.96)	vsync (16.61)	none (5.41)	glReadPixels (22.54)	EGLSyncKHR (5.50)	glFinish (22.81)	vsync (17.48)	none (10.55)	glReadPixels (29.94)	EGLSyncKHR (14.54)	glFinish (29.55)	vsync (16.91)	none (12.47)	glReadPixels (19.95)	EGLSyncKHR (10.72)	glFinish (20.25)	vsync (39.70)	none (26.76)	glReadPixels (36.54)	EGLSyncKHR (27.59)	glFinish (34.41)	vsync (16.53)	none (9.21)	glReadPixels (16.79)	EGLSyncKHR (10.10)	glFinish (16.41)	
16.183000	4.890000	11.163000	5.102000	13.340000	19.223000	4.539000	19.612000	4.973000	20.707000	16.426000	7.144000	20.015000	11.723000	24.180000	17.548000	10.987000	14.112000	8.051000	21.519000	33.902000	15.444000	28.708000	17.018000	29.369000	16.699000	6.401000	17.115000	8.282000	14.417000	
18.659000	4.805000	11.134000	5.507000	11.822000	14.420000	4.676000	19.752000	4.969000	22.050000	16.980000	6.999000	19.694000	12.450000	24.307000	14.283000	8.664000	15.029000	8.048000	22.812000	161.932000	15.200000	28.817000	54.856000	29.395000	16.254000	7.549000	14.961000	7.882000	15.263000	
16.745000	4.683000	11.551000	13.931000	12.283000	23.139000	4.458000	20.498000	4.918000	23.042000	16.925000	6.957000	19.733000	12.807000	24.445000	16.585000	9.562000	15.179000	7.764000	19.210000	26.898000	56.693000	28.153000	15.269000	29.584000	15.759000	7.756000	14.181000	8.652000	14.181000	
16.182000	5.161000	11.028000	5.005000	13.427000	10.893000	4.675000	22.391000	4.837000	25.451000	16.530000	7.082000	20.339000	11.549000	24.067000	16.879000	9.733000	14.898000	8.028000	19.545000	35.477000	20.792000	29.905000	14.066000	29.563000	16.757000	7.120000	15.059000	9.377000	14.331000	
16.209000	4.811000	11.088000	4.728000	13.107000	12.426000	4.607000	23.219000	4.957000	12.119000	16.722000	7.087000	19.757000	12.011000	24.406000	16.351000	9.977000	15.335000	7.921000	18.906000	25.126000	14.485000	31.841000	54.961000	29.641000	16.467000	7.808000	14.230000	8.102000	14.139000	
16.119000	4.783000	11.152000	5.103000	12.090000	16.513000	4.778000	23.461000	4.858000	13.451000	19.844000	6.961000	19.806000	13.495000	23.979000	16.565000	9.558000	15.438000	8.021000	19.237000	29.805000	57.509000	29.161000	15.820000	30.888000	16.742000	6.139000	14.440000	8.991000	14.487000	
16.211000	4.783000	11.022000	4.697000	12.662000	19.090000	4.897000	20.038000	5.143000	14.592000	13.692000	7.076000	25.363000	10.809000	24.088000	18.389000	9.650000	16.850000	7.998000	20.845000	27.682000	16.795000	27.755000	15.569000	30.759000	16.558000	7.152000	15.624000	8.412000	14.130000	
16.265000	5.271000	12.073000	5.205000	12.592000	18.375000	6.009000	18.244000	6.052000	19.223000	18.708000	7.999000	26.216000	12.473000	25.345000	17.632000	10.806000	16.999000	7.913000	19.635000	31.066000	18.275000	26.027000	54.368000	28.787000	19.268000	20.027000	13.725000	10.461000	11.995000	
15.908000	14.434000	11.209000	5.666000	12.138000	15.029000	5.141000	12.104000	5.353000	18.792000	16.727000	8.094000	26.143000	12.362000	24.319000	17.980000	10.141000	16.384000	7.913000	19.636000	27.127000	47.865000	25.205000	16.204000	27.683000	25.795000	7.220000	13.970000	11.137000	14.080000	
15.718000	4.456000	9.623000	4.000000	9.777000	14.298000	3.914000	10.091000	3.700000	14.797000	11.348000	5.945000	20.721000	11.276000	20.161000	12.755000	31.764000	15.823000	22.808000	17.495000	29.701000	9.270000	25.053000	12.266000	29.665000	7.668000	6.803000	15.062000	5.410000	11.776000	
16.453000	5.364000	12.376000	5.644000	12.653000	21.931000	5.839000	18.303000	6.416000	24.755000	21.231000	8.987000	33.648000	10.373000	29.023000	23.649000	6.356000	19.395000	5.766000	18.991000	32.223000	16.475000	30.184000	53.144000	33.282000	13.994000	8.697000	18.688000	8.233000	13.954000	
17.950000	5.138000	11.693000	5.565000	12.236000	16.062000	5.523000	18.057000	5.664000	14.189000	14.704000	7.805000	28.306000	10.956000	27.806000	13.829000	5.778000	20.251000	5.586000	18.484000	33.352000	55.325000	30.860000	18.242000	34.968000	17.324000	7.064000	18.907000	9.799000	17.014000	
16.229000	4.759000	11.576000	4.898000	12.126000	14.836000	5.238000	22.117000	5.322000	17.615000	16.336000	7.746000	28.474000	13.273000	27.842000	16.953000	5.178000	20.494000	5.480000	17.682000	28.106000	17.996000	30.581000	20.607000	34.738000	16.832000	9.062000	17.815000	8.562000	15.662000	
16.390000	5.599000	11.541000	4.965000	11.887000	15.624000	5.101000	22.894000	5.379000	19.147000	16.234000	7.504000	28.044000	12.379000	27.073000	16.161000	5.922000	19.743000	6.139000	17.223000	39.009000	15.882000	30.722000	57.451000	34.250000	16.511000	6.949000	16.183000	9.401000	14.631000	
16.307000	5.705000	11.542000	5.017000	12.108000	16.098000	4.876000	25.720000	5.271000	21.128000	16.550000	7.522000	28.293000	13.284000	27.240000	23.784000	5.283000	19.034000	6.437000	17.861000	37.154000	58.852000	30.990000	17.839000	34.842000	16.255000	7.615000	16.275000	9.635000	16.210000	
16.157000	5.103000	11.541000	5.220000	14.802000	19.162000	5.123000	29.353000	5.456000	23.599000	16.139000	7.536000	27.673000	13.236000	26.834000	11.810000	7.427000	18.297000	5.483000	17.558000	27.947000	46.891000	30.092000	19.000000	35.354000	16.820000	7.295000	17.635000	8.645000	16.059000	
16.163000	5.766000	11.513000	4.757000	12.155000	16.072000	5.449000	29.488000	5.280000	27.082000	16.754000	7.358000	27.605000	13.358000	27.152000	13.840000	10.882000	18.130000	6.746000	18.039000	29.254000	20.886000	29.951000	56.554000	34.132000	16.426000	7.510000	17.456000	9.322000	15.930000	
16.197000	4.841000	11.489000	4.942000	11.984000	15.589000	4.937000	35.572000	5.370000	14.624000	16.614000	7.280000	27.641000	13.479000	26.519000	16.621000	10.287000	15.594000	6.730000	19.006000	39.465000	56.058000	30.858000	18.034000	34.169000	16.002000	8.040000	16.645000	9.833000	15.991000	
15.969000	4.861000	11.667000	4.743000	12.754000	17.338000	4.714000	24.290000	5.228000	17.630000	16.535000	7.450000	27.709000	13.356000	27.084000	16.941000	11.446000	21.282000	8.378000	17.669000	28.423000	16.692000	29.593000	20.177000	37.700000	16.376000	7.870000	16.246000	11.172000	15.628000	
16.474000	5.068000	11.580000	4.926000	12.909000	15.438000	4.901000	17.640000	5.358000	17.601000	16.619000	7.550000	26.934000	13.501000	27.156000	17.000000	9.149000	22.312000	9.034000	17.411000	35.753000	17.010000	29.606000	60.410000	31.096000	16.579000	9.353000	16.807000	9.677000	15.673000	
15.950000	5.265000	12.259000	4.798000	13.112000	15.542000	5.009000	17.782000	5.177000	20.983000	17.375000	7.427000	27.008000	13.454000	28.011000	22.841000	10.819000	23.581000	8.836000	17.584000	24.789000	57.229000	29.543000	17.870000	31.059000	16.653000	8.671000	17.366000	9.782000	15.850000	
16.289000	4.736000	13.079000	4.777000	13.185000	19.066000	5.147000	17.396000	5.436000	22.634000	14.924000	7.385000	26.505000	13.264000	26.621000	14.501000	10.041000	28.149000	8.693000	17.303000	31.831000	16.713000	30.338000	19.530000	31.035000	16.783000	7.677000	14.240000	8.572000	13.940000	
16.358000	5.060000	13.035000	4.827000	14.001000	16.921000	4.967000	16.793000	5.317000	26.901000	16.512000	7.398000	27.456000	13.090000	26.853000	17.227000	10.488000	15.599000	8.990000	17.725000	32.601000	17.071000	31.298000	54.681000	31.103000	16.084000	9.193000	16.427000	10.159000	15.413000	
16.320000	4.850000	13.086000	5.123000	11.815000	14.120000	5.030000	19.395000	5.423000	28.069000	16.576000	7.482000	26.686000	13.816000	26.348000	18.361000	10.437000	15.922000	8.797000	18.972000	32.976000	55.980000	31.345000	18.321000	31.344000	16.348000	7.291000	16.304000	8.618000	15.461000	
16.197000	5.409000	18.685000	4.876000	12.257000	15.458000	4.702000	18.525000	5.449000	33.032000	16.407000	7.408000	27.280000	13.435000	26.551000	16.581000	10.838000	17.566000	8.880000	17.562000	31.730000	16.530000	31.252000	25.635000	31.390000	16.682000	6.947000	14.372000	9.708000	13.731000	
16.208000	4.942000	18.971000	4.980000	12.340000	18.245000	4.844000	20.312000	5.390000	15.332000	16.351000	7.317000	27.218000	13.087000	26.999000	13.843000	10.264000	24.072000	9.078000	17.767000	112.010000	18.704000	31.364000	51.649000	33.192000	17.054000	8.856000	16.228000	10.536000	16.051000	
16.280000	4.769000	17.735000	4.745000	11.303000	19.390000	4.669000	24.790000	5.318000	17.310000	16.288000	7.428000	27.074000	13.076000	26.663000	16.647000	10.853000	19.592000	8.976000	17.597000	34.991000	54.691000	31.292000	17.911000	31.199000	15.886000	9.174000	16.061000	8.020000	15.347000	
16.281000	4.778000	17.383000	4.892000	11.842000	17.106000	4.862000	25.878000	5.292000	19.390000	16.340000	7.383000	26.648000	13.157000	26.768000	17.321000	10.229000	20.346000	9.715000	17.402000	29.927000	18.443000	31.432000	16.191000	31.109000	16.958000	9.359000	14.670000	9.607000	13.639000	
16.113000	5.290000	17.228000	4.951000	12.007000	15.870000	4.724000	30.989000	5.407000	21.717000	16.430000	8.524000	26.424000	13.296000	26.435000	17.252000	9.877000	21.314000	8.328000	17.637000	27.827000	15.596000	31.367000	57.057000	31.088000	17.098000	8.134000	17.610000	9.814000	16.118000	
16.145000	4.701000	17.906000	4.724000	11.877000	16.000000	4.661000	30.030000	5.280000	22.246000	16.635000	7.461000	27.175000	13.349000	26.658000	17.869000	10.433000	21.411000	9.052000	17.607000	25.004000	61.382000	31.419000	17.964000	31.433000	16.588000	9.915000	16.831000	8.414000	15.922000	
16.294000	4.872000	14.703000	4.712000	11.235000	16.179000	4.585000	35.567000	5.370000	25.223000	17.085000	7.395000	27.572000	12.878000	26.711000	16.461000	10.417000	27.233000	8.939000	18.984000	29.657000	17.102000	31.509000	20.021000	31.376000	15.970000	7.912000	14.596000	9.610000	13.320000	
16.278000	4.734000	14.497000	4.963000	11.631000	16.295000	4.719000	19.281000	5.230000	28.567000	17.198000	7.315000	27.122000	13.217000	26.608000	19.871000	10.595000	14.591000	9.019000	18.952000	37.212000	17.091000	33.228000	57.270000	32.456000	16.467000	9.010000	16.479000	9.659000	15.437000	
23.209000	13.133000	26.228000	12.742000	27.429000	27.940000	10.365000	33.454000	11.851000	48.168000	29.980000	17.679000	43.261000	20.030000	44.568000	41.635000	26.578000	32.188000	20.592000	51.233000	93.070000	64.081000	47.939000	31.008000	39.543000	21.413000	18.282000	23.289000	15.711000	22.651000	
8.042000	5.821000	19.806000	5.345000	16.774000	10.886000	4.446000	14.967000	5.169000	16.256000	12.369000	9.550000	19.746000	9.877000	18.672000	8.352000	12.873000	15.518000	9.533000	20.228000	133.483000	13.696000	31.330000	17.834000	28.943000	10.240000	8.249000	15.444000	8.659000	14.627000	
15.877000	2.780000	13.837000	2.573000	10.577000	9.735000	2.629000	14.961000	3.434000	13.261000	12.186000	4.447000	16.026000	5.963000	14.846000	8.967000	3.257000	14.468000	4.011000	14.440000	22.570000	6.990000	26.309000	7.428000	30.235000	16.432000	9.579000	12.512000	8.004000	12.238000	
16.424000	3.240000	14.016000	2.934000	10.663000	13.135000	2.873000	16.366000	3.328000	16.003000	14.389000	4.575000	15.920000	11.234000	15.152000	8.288000	6.730000	14.621000	8.936000	29.926000	57.877000	9.372000	26.951000	9.872000	32.742000	19.081000	7.144000	14.050000	7.097000	11.769000	
16.149000	3.695000	14.610000	3.702000	12.290000	17.795000	3.558000	22.094000	4.025000	18.668000	15.028000	6.728000	19.162000	11.797000	22.242000	11.416000	4.325000	15.133000	5.727000	17.114000	24.551000	11.617000	25.981000	12.000000	27.036000	14.646000	7.224000	14.669000	8.066000	13.416000	
16.224000	3.834000	15.274000	3.778000	12.569000	15.628000	3.637000	25.414000	4.464000	20.324000	17.973000	7.282000	22.304000	11.901000	23.653000	18.658000	5.136000	14.585000	6.237000	34.600000	26.393000	14.793000	26.616000	13.880000	26.689000	17.064000	6.245000	12.854000	8.322000	13.109000	
15.697000	4.737000	17.100000	4.608000	14.740000	19.107000	4.353000	30.568000	4.912000	27.794000	16.714000	9.796000	26.060000	11.867000	27.628000	18.218000	9.492000	17.218000	7.579000	18.292000	30.862000	24.346000	28.307000	23.011000	29.414000	19.502000	7.912000	15.088000	7.958000	14.343000	
25.938000	10.279000	27.095000	26.002000	25.681000	24.395000	7.926000	26.804000	9.160000	19.918000	20.902000	19.833000	47.276000	19.526000	44.890000	31.023000	22.936000	35.646000	29.162000	28.168000	195.134000	28.379000	39.063000	29.572000	35.552000	24.201000	12.023000	18.798000	13.741000	19.851000	
7.125000	5.051000	18.134000	32.151000	15.862000	14.706000	4.435000	19.083000	5.488000	14.444000	11.809000	10.447000	27.852000	10.867000	27.692000	6.452000	5.799000	15.649000	5.469000	19.458000	25.428000	46.657000	26.566000	47.900000	27.383000	9.955000	7.437000	14.920000	7.213000	14.614000	
15.744000	4.641000	17.352000	33.273000	15.676000	10.681000	4.198000	18.031000	4.958000	15.594000	15.551000	9.785000	27.202000	10.939000	27.506000	10.866000	5.523000	15.681000	6.307000	19.651000	87.052000	22.109000	26.821000	22.435000	25.533000	12.799000	6.483000	13.606000	9.136000	14.610000	
16.090000	4.947000	17.738000	5.150000	14.788000	14.867000	4.103000	18.866000	4.995000	19.993000	14.269000	9.557000	27.633000	11.256000	27.172000	17.584000	8.230000	16.181000	5.750000	20.259000	89.933000	23.284000	26.776000	20.518000	26.549000	17.515000	8.812000	14.357000	7.445000	14.052000	
16.310000	4.537000	17.342000	5.515000	14.716000	15.132000	4.110000	20.094000	4.789000	22.388000	14.785000	9.167000	27.335000	10.243000	27.094000	16.879000	9.194000	16.640000	6.720000	24.548000	43.509000	20.379000	27.795000	26.780000	27.305000	15.051000	7.744000	13.178000	8.985000	15.411000	
